geo,name,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
afg,Afghanistan,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.2,,,,,0.26667,,,,,0.26667,,,,,0.33333,,,,,0.4,,,,,0.6,,,,,0.86667,,,,,1.2,,,,,1.46667,,,,,1.93333,,,,,2.33333,,,,,4.13333,,,,,5.2,,,,,7.73333,,,,,9.93333,10.66667,10.66667,11.33333,12,12.66667,12.66667,13.33333,13.33333,14,14.66667,14.66667,15.33333,16,16.66667,17.33333,18,19.33333,20,20.66667,21.33333,22,22.66667,23.33333,23.33333,24,24,25.33333
ago,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33333,29.33333,29.33333,29.33333,29.33333,29.33333,29.33333,30,30,30.66667,31.33333,31.33333,31.33333,32,32.66667,32.66667,33.33333,34,34
alb,Albania,0.13333,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.26667,,,,,0.26667,,,,,0.4,,,,,0.46667,,,,,0.6,,,,,1.13333,,,,,1.93333,,,,,3,,,,,4.2,,,,,5.46667,,,,,6.86667,,,,,8.53333,,,,,15.4,,,,,17.26667,,,,,15.46667,,,,,19.4,,,,,22.06667,,,,,26.53333,,,,,33,,,,,45,,,,,52.2,52,52,52,52,53.33333,54.66667,55.33333,56.66667,57.33333,58.66667,58,60,60,60.66667,60.66667,61.33333,61.33333,61.33333,62,62,62,64,64.66667,64.66667,64.66667,66.66667,66.66667
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.66667,47.33333,50.66667,67.33333,70,65.33333,67.33333,67.33333,67.33333,67.33333,67.33333,68,68,68,68,68,68,68
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,6.13333,,,,,9.2,,,,,12.4,,,,,15.93333,,,,,19.73333,,,,,23.93333,,,,,29.8,,,,,37.53333,39.33333,41.33333,43.33333,45.33333,47.33333,48.66667,50.66667,52,53.33333,55.33333,56,57.33333,58,59.33333,60.66667,62,62.66667,64,64.66667,66,66.66667,68,68.66667,70,70.66667,72,72
arg,Argentina,1.86667,,,,,2.33333,,,,,2.93333,,,,,3.6,,,,,4.26667,,,,,4.73333,,,,,5.2,,,,,6.13333,,,,,10.8,,,,,14.53333,,,,,17.33333,,,,,19.6,,,,,22.66667,,,,,25.33333,,,,,27.8,,,,,29.8,,,,,30.66667,,,,,33.26667,,,,,35.46667,,,,,37.33333,,,,,39.46667,,,,,42.86667,,,,,44.8,,,,,49.66667,,,,,52.53333,53.33333,53.33333,54,54.66667,55.33333,56.66667,57.33333,58.66667,59.33333,60.66667,60.66667,61.33333,62,61.33333,60.66667,60,59.33333,59.33333,62,65.33333,65.33333,65.33333,65.33333,65.33333,65.33333,66,66
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06667,,,,,49.86667,,,,,50.73333,,,,,54,,,,,55.6,,,,,58.33333,,,,,61.26667,,,,,63.86667,,,,,67.2,68,68,68.66667,69.33333,69.33333,70,70.66667,71.33333,71.33333,72,71.33333,72,72,72,72.66667,72.66667,73.33333,73.33333,74,74,74.66667,75.33333,76,76.66667,77.33333,78,78
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66667,59.33333,60,60,60.66667,60.66667,61.33333,61.33333,62,62,61.33333,61.33333,61.33333,61.33333,61.33333,61.33333,61.33333,61.33333
aus,Australia,10.73333,,,,,11,,,,,11.8,,,,,13.26667,,,,,15.2,,,,,17.13333,,,,,18.33333,,,,,20.46667,,,,,22.33333,,,,,26.06667,,,,,29.53333,,,,,32.8,,,,,36.93333,,,,,41,,,,,44.6,,,,,48.06667,,,,,52.46667,,,,,53.66667,,,,,55.06667,,,,,56.86667,,,,,62.33333,,,,,66.93333,,,,,71.93333,,,,,73.46667,,,,,74.66667,78.66667,78.66667,78.66667,78.66667,78.66667,78.66667,78.66667,78.66667,79.33333,79.33333,79.33333,78.66667,78.66667,78.66667,78,79.33333,80,82,82,82.66667,83.33333,84,84,84.66667,85.33333,86,86
aut,Austria,14.2,,,,,14.93333,,,,,15.73333,,,,,16.2,,,,,17.6,,,,,19.33333,,,,,21.4,,,,,23.8,,,,,26.26667,,,,,28.8,,,,,31.46667,,,,,34.06667,,,,,36.93333,,,,,39.66667,,,,,41.93333,,,,,43.6,,,,,42.8,,,,,41.2,,,,,39.6,,,,,46.2,,,,,50.86667,,,,,53.2,,,,,54.66667,,,,,56.06667,,,,,57.6,58,58,58.66667,58.66667,59.33333,59.33333,59.33333,60,60,60,61.33333,62.66667,64,65.33333,66,67.33333,77.33333,76.66667,78,78.66667,78.66667,78.66667,79.33333,80.66667,80.66667,80.66667,80.66667
